Date,Open,High,Low,Close,Volume,Change
2020-04-13,8690,8690,7560,7560,461,-0.09352517985611508
2020-04-14,7600,8480,7600,8480,102,0.12169312169312163
2020-04-16,8180,8200,7600,8200,339,-0.03301886792452835
2020-04-17,8380,8380,8000,8180,143,-0.0024390243902439046
2020-04-20,8460,8460,8180,8460,8,0.03422982885085579
2020-04-21,7960,8370,7850,8100,107,-0.04255319148936165
2020-04-22,8100,8100,8100,8100,30,0.0
2020-04-23,8300,8300,8300,8300,1,0.024691358024691468
2020-04-24,7700,8000,7600,7900,1870,-0.048192771084337394
2020-04-27,8000,8000,7440,7900,457,0.0
2020-04-28,7940,8100,7940,8100,327,0.025316455696202445
2020-04-29,8150,8390,7900,7980,81,-0.014814814814814836
2020-05-04,8000,8000,7950,7950,82,-0.003759398496240629
2020-05-06,7920,7950,7330,7400,3428,-0.0691823899371069
2020-05-07,7500,7500,7400,7400,121,0.0
2020-05-08,7400,8050,7400,8050,5046,0.08783783783783794
2020-05-11,9100,9100,8210,8600,1256,0.06832298136645965
2020-05-12,8600,8990,8600,8980,185,0.04418604651162794
2020-05-13,8980,9090,8960,9000,382,0.00222717149220486
2020-05-14,9050,9050,8350,8800,48,-0.022222222222222254
2020-05-15,8900,8900,8610,8800,153,0.0
2020-05-18,8940,8940,8790,8900,290,0.011363636363636465
2020-05-19,8800,8960,8450,8950,32,0.00561797752808979
